,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1074,0.0005999565124511719,0.0004898624643296147,0.00020008087158203126,0.0004001617431640626,1,3,46.41588833612773,rbf,"{'C': 1, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
674,0.00019998550415039061,0.0003999710083007812,0.00019998550415039061,0.00039997100830078123,0.1,1,46.41588833612773,rbf,"{'C': 0.1, 'degree': 1, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
714,0.0006003856658935546,0.0004902137015182568,0.00039973258972167967,0.0004895704914386467,0.1,2,46.41588833612773,rbf,"{'C': 0.1, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
754,0.0008009433746337891,0.0004004728051020289,0.0005988597869873047,0.0004889675342899535,0.1,3,46.41588833612773,rbf,"{'C': 0.1, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
474,0.0006000041961669922,0.0004899014752722479,0.00020012855529785156,0.0004002571105957031,0.01,4,46.41588833612773,rbf,"{'C': 0.01, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
434,0.00040001869201660155,0.000489920893719676,0.00019965171813964843,0.00039930343627929686,0.01,3,46.41588833612773,rbf,"{'C': 0.01, 'degree': 3, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
1274,0.0006009101867675781,0.0004906423255586482,0.00039987564086914064,0.0004897464760322329,5,4,46.41588833612773,rbf,"{'C': 5, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
794,0.00040001869201660155,0.0004899208473093903,0.00020008087158203126,0.0004001617431640626,0.1,4,46.41588833612773,rbf,"{'C': 0.1, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
1354,0.00039987564086914064,0.0004897456635623499,0.00020017623901367188,0.00040035247802734376,10,2,46.41588833612773,rbf,"{'C': 10, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
394,0.0007993221282958984,0.00039966636570112733,0.000400543212890625,0.000490563825127073,0.01,2,46.41588833612773,rbf,"{'C': 0.01, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
834,0.0008001327514648438,0.00040006705773969496,0.00020003318786621094,0.0004000663757324219,0.5,1,46.41588833612773,rbf,"{'C': 0.5, 'degree': 1, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
354,0.0005995750427246094,0.0004895511194711668,0.0005998611450195312,0.0004897850459088172,0.01,1,46.41588833612773,rbf,"{'C': 0.01, 'degree': 1, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
314,0.0008000373840332031,0.0004000213777336227,0.00019989013671875,0.0003997802734375,0.005,4,46.41588833612773,rbf,"{'C': 0.005, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
634,0.00039997100830078123,0.000489862649992856,0.0005999088287353515,0.0004898235152673564,0.05,4,46.41588833612773,rbf,"{'C': 0.05, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
874,0.0008000850677490235,0.0004000426013688889,0.00039973258972167967,0.000489571141647227,0.5,2,46.41588833612773,rbf,"{'C': 0.5, 'degree': 2, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
954,0.0006002902984619141,0.0004901352159399084,0.0004002571105957031,0.0004902128666314246,0.5,4,46.41588833612773,rbf,"{'C': 0.5, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
1434,0.0006005287170410157,0.0004903299456281762,0.00019965171813964843,0.00039930343627929686,10,4,46.41588833612773,rbf,"{'C': 10, 'degree': 4, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
34,0.0006000041961669922,0.0004899013824479931,0.0006000041961669922,0.0004899017073328082,0.001,1,46.41588833612773,rbf,"{'C': 0.001, 'degree': 1, 'gamma': 46.41588833612773, 'kernel': 'rbf'}",0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5333333333333334,0.04082482904638632,1101
